,app-title,location,content
0,Community Engagement Principal ,"
      New York (Open to Remote)
    ","
Job Overview
As Community Engagement Principal, you’ll ensure our microtransit services benefit local communities throughout the United States and enhance their transportation systems by building strong relationships with leaders and representatives from across public and private sectors.  
Responsibilities and Duties

Engage stakeholders in our partner communities (including business and civic leaders, ADA and transit advocacy groups, and nonprofits) and identify how Via-powered microtransit service can improve access to mobility and promote local/regional transportation policy goals.  
Represent the community’s needs to Via’s operations and technology teams, ensuring that Via’s service benefits as many people -- from all walks of life -- as possible. 
Heighten the profile of microtransit by forging coalitions of people and organizations and evangelizing the value of on-demand mobility in a range of community forums.

Qualifications

Veteran campaigner -- you’ve run successful local campaigns for office holders and/or ballot measures. 
Natural persuader; you’re an exceptional communicator, both verbal and in writing, and are effective one-on-one and in front of a crowd. 
Strategic thinker and doer -- you can articulate big goals but also know how to execute. You’re also a strong problem solver and can troubleshoot complicated challenges. 
Care deeply about improving communities through better transportation and infrastructure. 
Are excited about regular travel around the United States (+50% of your time will be spent out of the office). 

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
1,Contract Proposal Writer,"
      New York
    ","
Job Overview
Via is looking for experienced Proposal Writers to collaborate with our Business Development team on the production of winning proposals and responses to client requests. Successful Proposal Writers will assist in analyzing incoming requests; coordinating internal flow of information, resources, and proposal inputs; and ensuring the integrity and compliance of all proposal documentation and submissions. This position requires a positive and proactive attitude, as well as an intuitive understanding of technology, software solutions and services.
Responsibilities and Duties

Craft persuasive commercial- and government-focused sales proposals and responses to client requests, including RFPs, RFQs, and RFIs


Collaborate effectively with members of the Business Development team as well as work cross-functionally with other Via teams
Create proposal outlines and identify critical information. Request and organize responses from internal customers. Project manage tasks through completion.

Qualifications

Bachelor’s degree and excellent academic achievement
Exceptional oral and written communications skills
Experience writing proposals and/or technical documentation preferred
Experience in technical writing and/or software and service solutions preferred.
Strong knowledge of software technologies and ability to effectively communicate with technical subject-matter experts and translate into non-technical material are pluses.
Strong attention to detail. Proven success with copyediting and proofreading.
High proficiency with Microsoft Office Suite
Strong organizational and time-management skills
Flexible schedule necessary to work the hours needed to meet non-negotiable deadlines without losing effectiveness or quality

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
2,Infrastructure Innovation Strategist,"
      New York
    ","
Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.
Job Overview
As Infrastructure Innovation Strategist, you will lead the development and implementation of new public private partnerships (P3s) in the mobility space by combining your expertise in infrastructure investment with your understanding of Via’s strengths as a developer and operator of on-demand transit systems.
Responsibilities and Duties

Apply best practices from the P3 industry to design cutting-edge contracting structures enabling Via’s public sector clients, like transit agencies and city governments, to scale their on-demand transit services using private capital and risk and reward sharing.
Leverage extensive network of infrastructure investors to secure capital for P3 projects.
Develop a sophisticated search methodology to identify cities and transit agencies, on a global basis, that could be receptive to the P3 model and, in cooperation with Via’s Partnerships Team, initiate and cultivate relationships with them.
Oversee the P3 RFX and contracting processes by coordinating with stakeholders on Vias’ Finance, Legal, Partnerships, and Expansion Teams.
Scope and develop a comprehensive playbook of P3 best practices for the on-demand transit industry and train colleagues across Via’s relevant teams.
Tout Via’s contracting innovations in high-profile transportation and infrastructure investor forums around the world; raise the prominence of the P3 approach to mobility project delivery.

Qualifications

Have years of P3 experience in senior roles either on the government side, the investor side, or both.
Highly proficient in the language, analytical techniques, and contractual models of the P3 industry; your depth of experience will allow you to spearhead all core deal functions.
Passionate about stepping out of your comfort zone and applying your knowledge to new opportunities in a creative and entrepreneurial way.
Bachelor’s degree with a high-level of academic achievement (MBA or other advanced degree preferred).

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
3,Infrastructure Innovation Strategist,"
      London
    ","
Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.
Job Overview
As Infrastructure Innovation Strategist, you will lead the development and implementation of new public private partnerships (P3s) in the mobility space by combining your expertise in infrastructure investment with your understanding of Via’s strengths as a developer and operator of on-demand transit systems.
Responsibilities and Duties

Apply best practices from the P3 industry to design cutting-edge contracting structures enabling Via’s public sector clients, like transit agencies and city governments, to scale their on-demand transit services using private capital and risk and reward sharing.


Leverage extensive network of infrastructure investors to secure capital for P3 projects.


Develop a sophisticated search methodology to identify cities and transit agencies, on a global basis, that could be receptive to the P3 model and, in cooperation with Via’s Partnerships Team, initiate and cultivate relationships with them.


Oversee the P3 RFX and contracting processes by coordinating with stakeholders on Vias’ Finance, Legal, Partnerships, and Expansion Teams.


Scope and develop a comprehensive playbook of P3 best practices for the on-demand transit industry and train colleagues across Via’s relevant teams.


Tout Via’s contracting innovations in high-profile transportation and infrastructure investor forums around the world; raise the prominence of the P3 approach to mobility project delivery.

Qualifications

Have years of P3 experience in senior roles either on the government side, the investor side, or both.


Highly proficient in the language, analytical techniques, and contractual models of the P3 industry; your depth of experience will allow you to spearhead all core deal functions.


Passionate about stepping out of your comfort zone and applying your knowledge to new opportunities in a creative and entrepreneurial way.


Bachelor’s degree with a high-level of academic achievement (MBA or other advanced degree preferred).

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
4,Transportation Finance Strategist,"
      New York
    ","
Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.
Job Overview
As Transportation Finance Strategist, you will identify global opportunities to purchase private transit operators that contract with local government, coordinate the acquisition process from valuation to closing, and support the integration of Via’s on-demand transit technology into their operations.
Responsibilities and Duties

Develop a methodology for identifying transit operators around the world that Via should approach as acquisition targets; manage network of investment bankers, business brokers, and other industry insiders to fill deal pipeline.


Lead the engagement process, including initiating conversations with the key decision-makers, facilitating discussions with stakeholders at Via, applying best valuation practices from the private equity industry, running comprehensive due diligence, and overseeing negotiations and closing.


Manage internal deal workflows by collaborating closely with relevant teams at Via, including Finance, Legal, Partnerships, and Expansion.


Facilitate the technology integration process, as needed, by liaising between company management and Via’s Expansion, Technology, and Operations Teams.

Qualifications

Have spent years in private equity in senior roles and have a successful track record leading across all core deal functions.


Familiar with the transportation, infrastructure, shipping, and/or logistics industries (preferable).


Eager to leverage your financial background to innovate in the rapidly growing mobility space.


Prize autonomy and thrive in fluid, entrepreneurial work environments.


Passionate about modernizing transit in order to make cities more livable.


Bachelor’s degree in economics, finance, business or a related field (MBA preferred).

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
5,Urban Mobility Associate,"
      New York
    ","
Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.
Job Overview
As Urban Mobility Associate, you will oversee the development of complex, first-rate commercial proposals for cities and transit agencies around the world by leveraging your deep understanding of their transportation challenges and goals, applying your knowledge of Via’s unique technical and operational strengths, and formulating expertly-scoped mobility solutions.
Responsibilities and Duties

Conduct rigorous research on global mobility trends by analyzing news and other forms of information and synthesizing findings into insightful commentary.


Lead competitive procurements from the receipt of RFP/I/Q documentation through evaluation, content creation, review, and submission.


Generate compelling original content by closely ascertaining a client’s needs and deploying your familiarity with Via’s technology and operational capabilities, transit norms, and the latest trends from across the industry; create customized pricing and budgeting proposals.


Bring all of Via’s expertise to bear, in a structured way, by collaborating with key stakeholders on the Partnerships, Legal, Data Science, Finance, Public Policy, Technology, Expansion, and Communications teams, as well as external project partners, including vendors, as needed.


Oversee document flow to ensure responsiveness, adherence to quality standards, and legal compliance.


Skillfully manage communications with procurement officials over the phone and email.


Support senior team members during off-site proposal interviews.

Qualifications

You are an exceptional writer with an instinctive appreciation for tone and structure -- your colleagues have told you that they enjoy reading your work (and maybe you’ve even won awards).


Meticulous and strategic; you can pay attention to every detail in a complex proposal while, at the same time, relate each of them to the big picture in a coherent way.


Passionate about transportation and urbanism; you want to make cities better for everyone.
A record of academic achievement, preferably in the humanities, social sciences, or another field that required regular long-form writing (undergraduate degree required, advanced degree preferred).
Prior experience at a startup, consulting firm, or in a leadership role is a plus.

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
6,Urban Mobility Strategist,"
      New York
    ","
Via is re-engineering public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via’s mobile app connects multiple passengers who are headed the same way, allowing riders to seamlessly share a dynamically-routed vehicle. First launched in New York City in September 2013, the Via platform operates in New York City, Chicago, and Washington DC, and in London and Amsterdam through ViaVan, its joint venture with Mercedes-Benz Vans. Via also licenses its revolutionary on-demand transit technology to transportation players globally.
Job Overview
As Urban Mobility Strategist, you’ll elevate the prominence of microtransit as a transportation mode by overseeing ambitious evidence-based research projects, sharing new knowledge as an expert evangelist at industry events and through original publications, developing sophisticated commercial proposals using proprietary modeling and planning tools, and managing special transportation consulting projects. This role is based in NYC and reports to the Head of Global Business Development.
Responsibilities and Duties

Scope and implement research projects showing how microtransit helps communities achieve desirable policy outcomes by complementing, and in some cases replacing, legacy transportation modes.


Share findings at conferences and on panels and publish them in transportation and urban planning publications, academic journals, white papers, op-ed’s, and blog posts.


Systematically monitor goings-on in the mobility space, identify and analyze key issues, and share action-oriented analysis. 


Leverage Via’s advanced tools and extensive best practices to develop compelling responses to solicitations from cities and transit agencies.


Manage complex transportation consulting projects by working with internal stakeholders -- on the Data Science, Finance, Business Development, Public Policy, and Communications teams -- and vendors, academic researchers, and public sector partners.

Qualifications

An expert urban design and/or transportation planning professional with multiple years of experience managing transportation design projects and, preferably, a portfolio of published articles.


A true believer in the social, economic, and environmental benefits of microtransit as a mode; you love challenging the conventional wisdom and don’t shy away from controversy.


A passion for learning and communicating your discoveries to the broadest possible audience


Exceptional analytical skills, both qualitative and quantitative; you are also a superb writer (your colleagues have told you so -- maybe you’ve even won awards).


An advanced degree in urban design, city, and/or transportation planning from a top-tier graduate school (PhD preferred).

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
7,Business Analytics Associate,"
      New York
    ","
Job Overview
As Business Analytics Associate, you’ll analyze large proprietary datasets to generate novel business insights and drive Via’s growth.
Responsibilities and Duties

Develop new measurement methodologies and data-driven hypotheses; question existing assumptions and models
Drive analysis to help us better understand our customers, improve conversion, and create targeted marketing campaigns
Communicate findings internally, working closely with Via senior management
Design and build data products to help empower our growth and operations teams

Qualifications

Obsessed with data, very strong quantitative and analytical muscle
Passionate about data visualization, can find the best way to distill large amounts of data into a neat visual representation
Deep understanding of business concepts within strategy, operations, and marketing
Self-directed, with a bias for action and data-based decision making
Extraordinary communicator with demonstrated writing, editing and visualization skills
Have a Bachelors Degree from a top-tier university (math, economics, statistics and/or computer science is preferred) and a record of exceptional academic achievement (minimum GPA of 3.5/4.0)
Have 1+ years of experience with predictive modeling and statistical analysis techniques in a business environment
Proficient in Tableau and SQL. Python and/or R - a bonus

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
8,Data Engineer,"
      New York
    ","
Job Overview
As a Data Engineer, you’ll help design and implement our mission-critical data pipeline and warehousing solution that seamlessly enables mass-scale, highly complex and data intensive operational service alongside cutting-edge algorithmic and analytics research for our full-scale, global ride-sharing service.
Responsibilities and Duties

Defining and implementing effective data scaling infrastructure solutions based on best-in-class standard tools
Driving speed, simplicity and robustness in production deployments.
Implementing data-rich system components at the core of system scaling.
Designing the ETL procedures to transform the concepts you design into reality.

Qualifications

Have 2 years of experience as a data/software engineer developing production quality software
Have a strong track-record of building, launching, and interacting with data pipelines at scale in both a streaming and batch fashion
Have experience deploying solutions on cloud-based platforms
Are proficient in Python, SQL, and other scripting languages
Concise: you get stuff done, in a simple, elegant way
Fast learner: you can quickly master concepts, disciplines and methods
Team worker: you understand the goals of the team and work towards them
Pragmatic: you hear about a difficult problem and are able to transform it into a simple one (or more) that you can easily solve

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
9,Data Scientist,"
      New York
    ","
Job Overview
As Data Scientist, you’ll utilize advanced quantitative & statistical analysis techniques to drive business model innovation for Via, and work closely with our senior management to help drive decisions.
Responsibilities and Duties

Adeptly interpret and utilize mass quantities of data to generate innovative hypotheses & insights
Use sophisticated statistical methods to solve problems, leveraging up-to-date academic research and tools
Quantitatively test hypotheses about customer and driver behavior using large sets of proprietary data; leverage results to increase conversion and retention at every touch point
Design and implement novel experiments to better understand current operation as well as expansion to new markets

Qualifications

Obsessed with data; analytical and rigorous, with a thorough understanding of statistics and machine learning
Extraordinary communicator with demonstrated writing and editing skills.
Passionate about elegant visualization; you understand the importance of graphic techniques in communicating a quantitative idea effectively
Deep understanding of business concepts within strategy, operations, and marketing
Have a Masters Degree or PhD from a top-tier university (statistics, machine learning, physics, math, systems biology, or highly quantitative fields in social sciences), including 2+ years of graduate-level research experience (or the equivalent)
Have experience with predictive modeling and statistical analysis techniques in a business environment
Mastery in some or all of the following: SQL, Python, R, and Tableau

 Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.
 Via is an equal opportunity employer.
"
